x,y,Class
7.289686274214118855e-01,-6.845471059286882820e-01,0.000000000000000000e+00
-4.286614359831970589e-01,-6.754623404016122379e-01,1.000000000000000000e+00
9.685831611286310761e-01,2.486898871648547948e-01,0.000000000000000000e+00
3.090169943749472292e-01,-9.510565162951536422e-01,0.000000000000000000e+00
-5.831749019371292864e-01,-5.476376847429510475e-01,1.000000000000000000e+00
-3.406234332520577390e-01,-7.238616419728158835e-01,1.000000000000000000e+00
-2.472135954999580554e-01,7.608452130361228472e-01,1.000000000000000000e+00
2.472135954999579721e-01,7.608452130361228472e-01,1.000000000000000000e+00
8.000000000000000444e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.499050516685801193e-01,-7.858298005829509325e-01,1.000000000000000000e+00
-9.921147013144778759e-01,-1.253332335643042861e-01,0.000000000000000000e+00
-3.406234332520581831e-01,7.238616419728156615e-01,1.000000000000000000e+00
5.099391917989517520e-01,6.164105942206314914e-01,1.000000000000000000e+00
1.499050516685796197e-01,7.858298005829510435e-01,1.000000000000000000e+00
1.873813145857251283e-01,-9.822872507286886101e-01,0.000000000000000000e+00
7.748665289029048608e-01,1.989519097318838414e-01,1.000000000000000000e+00
-8.090169943749472292e-01,-5.877852522924733591e-01,0.000000000000000000e+00
5.831749019371295084e-01,-5.476376847429506034e-01,1.000000000000000000e+00
-6.374239897486895234e-01,-7.705132427757893643e-01,0.000000000000000000e+00
-7.748665289029048608e-01,1.989519097318838692e-01,1.000000000000000000e+00
4.286614359831974475e-01,-6.754623404016120158e-01,1.000000000000000000e+00
8.763066800438635839e-01,-4.817536741017153235e-01,0.000000000000000000e+00
-6.472135954999579388e-01,4.702282018339786207e-01,1.000000000000000000e+00
-7.936917610515823451e-01,1.002665868514432818e-01,1.000000000000000000e+00
6.279051952931330449e-02,9.980267284282715590e-01,0.000000000000000000e+00
9.921147013144778759e-01,-1.253332335643037865e-01,0.000000000000000000e+00
7.289686274214115524e-01,6.845471059286887261e-01,0.000000000000000000e+00
7.438211887106012110e-01,-2.944996421477423243e-01,1.000000000000000000e+00
-9.297764858882512362e-01,-3.681245526846783078e-01,0.000000000000000000e+00
-9.921147013144778759e-01,1.253332335643040918e-01,0.000000000000000000e+00
9.297764858882513472e-01,3.681245526846779748e-01,0.000000000000000000e+00
-1.873813145857248230e-01,9.822872507286886101e-01,0.000000000000000000e+00
5.831749019371292864e-01,5.476376847429510475e-01,1.000000000000000000e+00
8.763066800438635839e-01,4.817536741017153235e-01,0.000000000000000000e+00
6.374239897486899675e-01,-7.705132427757890312e-01,0.000000000000000000e+00
-8.090169943749473402e-01,5.877852522924732481e-01,0.000000000000000000e+00
7.936917610515823451e-01,-1.002665868514430320e-01,1.000000000000000000e+00
4.286614359831972809e-01,6.754623404016121269e-01,1.000000000000000000e+00
